LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content
1,-,1782086961,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-00.09.21.588637,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
2,-,1782088560,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-00.36.00.565158,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
3,-,1782088692,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-00.38.12.275504,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
4,-,1782088974,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-00.42.54.783300,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
5,-,1782089173,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-00.46.13.612982,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
6,-,1782090359,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-01.05.59.449245,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
7,-,1782093293,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-01.54.53.941435,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
8,-,1782093911,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-02.05.11.611878,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
9,-,1782094413,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-02.13.33.418801,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
10,-,1782094756,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-02.19.16.379580,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
11,-,1782095126,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-02.25.26.229974,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
12,-,1782099833,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-03.43.53.145051,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
